text_length,pattern_length,threads,time,matches,speedup,efficiency,test_case
2003,3,1,0.000178,1,1.0,1.0,Маленькая строка
2003,3,2,0.00021099999999999998,1,0.8436018957345972,0.4218009478672986,Маленькая строка
2003,3,4,0.000429,1,0.41491841491841486,0.10372960372960371,Маленькая строка
2003,3,6,0.000557,1,0.31956912028725315,0.05326152004787552,Маленькая строка
2003,3,8,0.0007019999999999999,1,0.2535612535612536,0.0316951566951567,Маленькая строка
20003,3,1,0.0004315,1,1.0,1.0,Средняя строка
20003,3,2,0.0004235,1,1.0188902007083827,0.5094451003541913,Средняя строка
20003,3,4,0.000438,1,0.9851598173515982,0.24628995433789955,Средняя строка
20003,3,6,0.000882,1,0.4892290249433107,0.08153817082388512,Средняя строка
20003,3,8,0.0006735,1,0.6406829992576095,0.08008537490720119,Средняя строка
100003,3,1,0.000578,1,1.0,1.0,Большая строка
100003,3,2,0.0003805,1,1.519053876478318,0.759526938239159,Большая строка
100003,3,4,0.00044950000000000003,1,1.2858731924360398,0.32146829810900995,Большая строка
100003,3,6,0.0009480000000000001,1,0.6097046413502109,0.10161744022503515,Большая строка
100003,3,8,0.0007845,1,0.7367750159337156,0.09209687699171445,Большая строка
200003,3,1,0.000871,1,1.0,1.0,Очень большая строка
200003,3,2,0.000593,1,1.4688026981450253,0.7344013490725126,Очень большая строка
200003,3,4,0.000539,1,1.6159554730983303,0.4039888682745826,Очень большая строка
200003,3,6,0.000744,1,1.170698924731183,0.19511648745519716,Очень большая строка
200003,3,8,0.0013895000000000001,1,0.6268441885570348,0.07835552356962935,Очень большая строка
